"STANDARDNA PORABNIŠKA SKUPINA (LETNA PORABA)","ENOTA","CENA","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"D1 (< 20 GJ)","EUR / GJ","Brez davkov",20.1149,22.9415,28.4355,17.8009,17.3522,18.3410,22.9427,13.6355,17.2588,17.1203,14.6675,13.2763,15.2051,15.2645,14.9843,13.6873,13.7499,14.5631,14.6346,12.9043,11.9679,11.5796,10.8137,11.1543,12.0824,11.4582,10.8959,12.2663,12.4902,11.7987,11.9474,11.6540,12.9993,12.9224,11.7585,11.3712,11.4919,11.5821,11.7534,12.7997
"D1 (< 20 GJ)","EUR / GJ","Brez DDV",21.3521,24.1786,29.6726,19.0380,18.6835,19.6723,24.2740,14.9668,18.5901,18.4933,16.1341,14.7429,16.9804,17.0399,16.7584,15.4613,15.5522,16.3720,16.4436,14.7133,13.8151,13.4268,12.6609,13.0015,13.9296,13.3054,12.7431,14.1135,14.3374,13.6459,13.7947,13.5012,14.8465,14.7696,13.6057,13.2184,13.3392,13.4293,13.6006,14.6470
"D1 (< 20 GJ)","EUR / GJ","Z vsemi davki",25.6225,29.0144,35.6072,22.8456,22.4202,23.6067,29.6142,18.2595,22.6799,22.5618,19.6836,17.9863,20.7161,20.7886,20.4452,18.8628,18.9737,19.9739,20.0612,17.9502,16.8545,16.3807,15.4463,15.8619,16.9942,16.2326,15.5466,17.2185,17.4916,16.6480,16.8295,16.4714,18.1127,18.0190,16.5990,16.1265,16.2738,16.3838,16.5927,17.8693
"D1 (< 20 GJ)","EUR/Sm3","Brez davkov",0.7609,0.8678,1.0757,0.6734,0.6564,0.6938,0.8679,0.5158,0.6529,0.6476,0.5549,0.5022,0.5752,0.5774,0.5668,0.5178,0.5201,0.5509,0.5536,0.4882,0.4527,0.4380,0.4091,0.4220,0.4571,0.4334,0.4122,0.4640,0.4725,0.4463,0.4520,0.4409,0.4917,0.4888,0.4448,0.4302,0.4347,0.4381,0.4446,0.4842
"D1 (< 20 GJ)","EUR/Sm3","Brez DDV",0.8077,0.9146,1.1225,0.7202,0.7068,0.7442,0.9183,0.5662,0.7032,0.6996,0.6103,0.5577,0.6423,0.6446,0.6339,0.5849,0.5883,0.6193,0.6220,0.5566,0.5226,0.5079,0.4789,0.4918,0.5269,0.5033,0.4821,0.5339,0.5424,0.5162,0.5218,0.5107,0.5616,0.5587,0.5147,0.5000,0.5046,0.5080,0.5145,0.5541
"D1 (< 20 GJ)","EUR/Sm3","Z vsemi davki",0.9693,1.0976,1.3470,0.8642,0.8481,0.8930,1.1203,0.6907,0.8580,0.8535,0.7446,0.6804,0.7837,0.7864,0.7734,0.7136,0.7178,0.7556,0.7589,0.6790,0.6376,0.6197,0.5843,0.6000,0.6429,0.6141,0.5881,0.6514,0.6617,0.6298,0.6366,0.6231,0.6852,0.6816,0.6279,0.6100,0.6156,0.6198,0.6277,0.6760
"D1 (< 20 GJ)","EUR/kWh","Brez davkov",0.0724,0.0826,0.1024,0.0641,0.0625,0.0660,0.0826,0.0491,0.0621,0.0616,0.0528,0.0478,0.0547,0.0550,0.0539,0.0493,0.0495,0.0524,0.0527,0.0465,0.0431,0.0417,0.0389,0.0402,0.0435,0.0412,0.0392,0.0442,0.0450,0.0425,0.0430,0.0420,0.0468,0.0465,0.0423,0.0409,0.0414,0.0417,0.0423,0.0461
"D1 (< 20 GJ)","EUR/kWh","Brez DDV",0.0769,0.0870,0.1068,0.0685,0.0673,0.0708,0.0874,0.0539,0.0669,0.0666,0.0581,0.0531,0.0611,0.0613,0.0603,0.0557,0.0560,0.0589,0.0592,0.0530,0.0497,0.0483,0.0456,0.0468,0.0501,0.0479,0.0459,0.0508,0.0516,0.0491,0.0497,0.0486,0.0534,0.0532,0.0490,0.0476,0.0480,0.0483,0.0490,0.0527
"D1 (< 20 GJ)","EUR/kWh","Z vsemi davki",0.0922,0.1045,0.1282,0.0822,0.0807,0.0850,0.1066,0.0657,0.0816,0.0812,0.0709,0.0648,0.0746,0.0748,0.0736,0.0679,0.0683,0.0719,0.0722,0.0646,0.0607,0.0590,0.0556,0.0571,0.0612,0.0584,0.0560,0.0620,0.0630,0.0599,0.0606,0.0593,0.0652,0.0649,0.0598,0.0581,0.0586,0.0590,0.0597,0.0643
"D2 (20 do 200 GJ)","EUR / GJ","Brez davkov",16.7305,19.3803,23.4648,14.5569,13.8170,15.6356,17.5608,14.2413,13.9463,13.4701,12.6518,13.0276,12.5715,12.5047,12.9765,11.9363,11.8941,11.6134,11.7442,10.9047,10.6964,10.8569,10.2171,10.2611,10.5892,10.6310,10.2284,11.4592,11.2408,11.0046,11.1295,10.8903,11.5554,11.3581,10.9300,10.6188,10.4381,11.0388,11.2147,11.5727
