"MESEC","GORIVO","Zaloge na zaèetku meseca"," Proizvodnja"," Uvoz"," Izvoz"," Oskrba"," Zaloge na koncu meseca"
"2004M01","Zemeljski plin (1000 Sm3)",0.000,435.000,129973.000,0.000,130408.000,0.000
"2004M02","Zemeljski plin (1000 Sm3)",0.000,410.000,118763.000,0.000,119173.000,0.000
"2004M03","Zemeljski plin (1000 Sm3)",0.000,419.000,105809.000,0.000,106227.000,0.000
"2004M04","Zemeljski plin (1000 Sm3)",0.000,360.000,78030.000,0.000,78390.000,0.000
"2004M05","Zemeljski plin (1000 Sm3)",0.000,362.000,65586.000,0.000,65948.000,0.000
"2004M06","Zemeljski plin (1000 Sm3)",0.000,406.000,70111.000,0.000,70518.000,0.000
"2004M07","Zemeljski plin (1000 Sm3)",0.000,452.000,68766.000,0.000,69218.000,0.000
"2004M08","Zemeljski plin (1000 Sm3)",0.000,462.000,67744.000,0.000,68206.000,0.000
"2004M09","Zemeljski plin (1000 Sm3)",0.000,444.000,76352.000,0.000,76795.000,0.000
"2004M10","Zemeljski plin (1000 Sm3)",0.000,438.000,86033.000,0.000,86470.000,0.000
"2004M11","Zemeljski plin (1000 Sm3)",0.000,399.000,109253.000,0.000,109652.000,0.000
"2004M12","Zemeljski plin (1000 Sm3)",0.000,455.000,122562.000,0.000,123016.000,0.000
"2005M01","Zemeljski plin (1000 Sm3)",0.000,454.000,132483.000,0.000,132937.000,0.000
"2005M02","Zemeljski plin (1000 Sm3)",0.000,390.000,124942.000,0.000,125332.000,0.000
"2005M03","Zemeljski plin (1000 Sm3)",0.000,362.000,117042.000,0.000,117404.000,0.000
"2005M04","Zemeljski plin (1000 Sm3)",0.000,398.000,90256.000,0.000,90654.000,0.000
"2005M05","Zemeljski plin (1000 Sm3)",0.000,421.000,74913.000,0.000,75334.000,0.000
"2005M06","Zemeljski plin (1000 Sm3)",0.000,291.000,69659.000,0.000,69949.000,0.000
"2005M07","Zemeljski plin (1000 Sm3)",0.000,322.000,56792.000,0.000,57114.000,0.000
"2005M08","Zemeljski plin (1000 Sm3)",0.000,346.000,65482.000,0.000,65828.000,0.000
"2005M09","Zemeljski plin (1000 Sm3)",0.000,238.000,71290.000,0.000,71528.000,0.000
"2005M10","Zemeljski plin (1000 Sm3)",0.000,302.000,89119.000,0.000,89421.000,0.000
"2005M11","Zemeljski plin (1000 Sm3)",0.000,384.000,114143.000,0.000,114527.000,0.000
"2005M12","Zemeljski plin (1000 Sm3)",0.000,428.000,128885.000,0.000,129313.000,0.000
"2006M01","Zemeljski plin (1000 Sm3)",0.000,406.000,130222.000,0.000,130628.000,0.000
"2006M02","Zemeljski plin (1000 Sm3)",0.000,359.000,109869.000,0.000,110228.000,0.000
"2006M03","Zemeljski plin (1000 Sm3)",0.000,379.000,115207.000,0.000,115585.000,0.000
"2006M04","Zemeljski plin (1000 Sm3)",0.000,390.000,85741.000,0.000,86130.000,0.000
"2006M05","Zemeljski plin (1000 Sm3)",0.000,399.000,74459.000,0.000,74857.000,0.000
"2006M06","Zemeljski plin (1000 Sm3)",0.000,359.000,70172.000,0.000,70531.000,0.000
"2006M07","Zemeljski plin (1000 Sm3)",0.000,371.000,69630.000,0.000,70001.000,0.000
"2006M08","Zemeljski plin (1000 Sm3)",0.000,339.000,67279.000,0.000,67618.000,0.000
"2006M09","Zemeljski plin (1000 Sm3)",0.000,306.000,70618.000,0.000,70924.000,0.000
"2006M10","Zemeljski plin (1000 Sm3)",0.000,305.000,83762.000,0.000,84068.000,0.000
"2006M11","Zemeljski plin (1000 Sm3)",0.000,284.000,106048.000,0.000,106332.000,0.000
"2006M12","Zemeljski plin (1000 Sm3)",0.000,267.000,117658.000,0.000,117925.000,0.000
"2007M01","Zemeljski plin (1000 Sm3)",0.000,287.000,119865.000,0.000,120152.000,0.000
"2007M02","Zemeljski plin (1000 Sm3)",0.000,270.000,105135.000,0.000,105405.000,0.000
"2007M03","Zemeljski plin (1000 Sm3)",0.000,299.000,106440.000,0.000,106739.000,0.000
"2007M04","Zemeljski plin (1000 Sm3)",0.000,238.000,77620.000,0.000,77858.000,0.000
"2007M05","Zemeljski plin (1000 Sm3)",0.000,294.000,73600.000,0.000,73894.000,0.000
"2007M06","Zemeljski plin (1000 Sm3)",0.000,299.000,67508.000,0.000,67808.000,0.000
"2007M07","Zemeljski plin (1000 Sm3)",0.000,306.000,72265.000,0.000,72570.000,0.000
"2007M08","Zemeljski plin (1000 Sm3)",0.000,271.000,70425.000,0.000,70695.000,0.000
"2007M09","Zemeljski plin (1000 Sm3)",0.000,293.000,77531.000,0.000,77825.000,0.000
"2007M10","Zemeljski plin (1000 Sm3)",0.000,291.000,98741.000,0.000,99032.000,0.000
"2007M11","Zemeljski plin (1000 Sm3)",0.000,283.000,116127.000,0.000,116410.000,0.000
"2007M12","Zemeljski plin (1000 Sm3)",0.000,287.000,134866.000,0.000,135153.000,0.000
"2008M01","Zemeljski plin (1000 Sm3)",0.000,307.000,129442.000,0.000,129750.000,0.000
"2008M02","Zemeljski plin (1000 Sm3)",0.000,267.000,116235.000,0.000,116501.000,0.000
"2008M03","Zemeljski plin (1000 Sm3)",0.000,259.000,115021.000,0.000,115280.000,0.000
"2008M04","Zemeljski plin (1000 Sm3)",0.000,198.000,92925.000,0.000,93122.000,0.000
"2008M05","Zemeljski plin (1000 Sm3)",0.000,206.000,79196.000,0.000,79403.000,0.000
"2008M06","Zemeljski plin (1000 Sm3)",0.000,189.000,72879.000,0.000,73068.000,0.000
"2008M07","Zemeljski plin (1000 Sm3)",0.000,95.000,54970.000,0.000,55065.000,0.000
"2008M08","Zemeljski plin (1000 Sm3)",0.000,217.000,51766.000,0.000,51983.000,0.000
"2008M09","Zemeljski plin (1000 Sm3)",0.000,218.000,80104.000,0.000,80321.000,0.000
"2008M10","Zemeljski plin (1000 Sm3)",0.000,195.000,95779.000,0.000,95975.000,0.000
"2008M11","Zemeljski plin (1000 Sm3)",0.000,199.000,90855.000,0.000,91054.000,0.000
"2008M12","Zemeljski plin (1000 Sm3)",0.000,260.000,97292.000,0.000,97552.000,0.000
"2009M01","Zemeljski plin (1000 Sm3)",0.000,245.000,113317.000,0.000,113561.000,0.000
"2009M02","Zemeljski plin (1000 Sm3)",0.000,214.000,99428.000,0.000,99643.000,0.000
"2009M03","Zemeljski plin (1000 Sm3)",0.000,198.000,88337.000,0.000,88535.000,0.000
"2009M04","Zemeljski plin (1000 Sm3)",0.000,239.000,55290.000,0.000,55529.000,0.000
"2009M05","Zemeljski plin (1000 Sm3)",0.000,199.000,59887.000,0.000,60086.000,0.000
"2009M06","Zemeljski plin (1000 Sm3)",0.000,204.000,61851.000,0.000,62055.000,0.000
"2009M07","Zemeljski plin (1000 Sm3)",0.000,218.000,65751.000,0.000,65968.000,0.000
"2009M08","Zemeljski plin (1000 Sm3)",0.000,229.000,66887.000,0.000,67116.000,0.000
"2009M09","Zemeljski plin (1000 Sm3)",0.000,206.000,74058.000,0.000,74264.000,0.000
"2009M10","Zemeljski plin (1000 Sm3)",0.000,205.000,96158.000,0.000,96363.000,0.000
"2009M11","Zemeljski plin (1000 Sm3)",0.000,207.000,113837.000,0.000,114044.000,0.000
"2009M12","Zemeljski plin (1000 Sm3)",0.000,211.000,123714.000,0.000,123925.000,0.000
"2010M01","Zemeljski plin (1000 Sm3)",0.000,219.000,140067.000,0.000,140286.000,0.000
"2010M02","Zemeljski plin (1000 Sm3)",0.000,186.000,121779.000,0.000,121964.000,0.000
"2010M03","Zemeljski plin (1000 Sm3)",0.000,218.000,116470.000,0.000,116687.000,0.000
"2010M04","Zemeljski plin (1000 Sm3)",0.000,367.000,81543.000,0.000,81909.000,0.000
"2010M05","Zemeljski plin (1000 Sm3)",0.000,787.000,69606.000,0.000,70393.000,0.000
"2010M06","Zemeljski plin (1000 Sm3)",0.000,788.000,64253.000,0.000,65042.000,0.000
"2010M07","Zemeljski plin (1000 Sm3)",0.000,505.000,53694.000,0.000,54199.000,0.000
"2010M08","Zemeljski plin (1000 Sm3)",0.000,457.000,46451.000,0.000,46907.000,0.000
"2010M09","Zemeljski plin (1000 Sm3)",0.000,688.000,59923.000,0.000,60610.000,0.000
"2010M10","Zemeljski plin (1000 Sm3)",0.000,783.000,85352.000,0.000,86135.000,0.000
"2010M11","Zemeljski plin (1000 Sm3)",0.000,828.000,94014.000,0.000,94842.000,0.000
"2010M12","Zemeljski plin (1000 Sm3)",0.000,849.000,119608.000,0.000,120457.000,0.000
"2011M01","Zemeljski plin (1000 Sm3)",0.000,873.000,117431.000,0.000,118304.000,0.000
"2011M02","Zemeljski plin (1000 Sm3)",0.000,791.000,106897.000,0.000,107687.000,0.000
"2011M03","Zemeljski plin (1000 Sm3)",0.000,615.000,100644.000,0.000,101259.000,0.000
"2011M04","Zemeljski plin (1000 Sm3)",0.000,30.000,62350.000,0.000,62380.000,0.000
"2011M05","Zemeljski plin (1000 Sm3)",0.000,0.000,57836.000,0.000,57836.000,0.000
"2011M06","Zemeljski plin (1000 Sm3)",0.000,0.000,47370.000,0.000,47370.000,0.000
"2011M07","Zemeljski plin (1000 Sm3)",0.000,0.000,44339.000,0.000,44339.000,0.000
"2011M08","Zemeljski plin (1000 Sm3)",0.000,0.000,45880.000,0.000,45880.000,0.000
